,Pustular Mat  1,Pustular Mat  2,Pustular Mat  3,Pustular Mat  4,Pustular Mat  5,Smooth Mat 1,Smooth Mat 2,Smooth Mat 3,Smooth Mat 4,Smooth Mat 5
"K07657: phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB",20,1,5,12,8,12,12,12,3,4
K03408: cheW; purine-binding chemotaxis protein CheW,4,1,2,3,3,20,12,12,22,9
K03776: aer; aerotaxis receptor,8,0,22,2,4,16,6,12,14,4
"K03821: phbC, phaC; polyhydroxyalkanoate synthase subunit PhaC [EC:2.3.1.-]",14,1,1,17,16,6,18,5,3,7
"K13525: VCP, CDC48; transitional endoplasmic reticulum ATPase",20,0,1,1,1,16,12,35,1,1
K02591: nifK; nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1],4,1,0,13,26,11,8,4,0,20
"K02933: RP-L6, MRPL6, rplF; large subunit ribosomal protein L6",18,4,2,6,6,11,4,23,7,6
"K11645: fbaB; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]",18,4,1,12,11,5,18,9,2,7
K13628: iscA; iron-sulfur cluster assembly protein,34,6,1,8,14,4,10,3,2,5
K00024: mdh; malate dehydrogenase [EC:1.1.1.37],6,1,3,13,15,8,14,11,7,7
"K00031: IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]",14,3,5,10,11,19,14,2,2,5
"K01649: leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]",12,2,7,8,8,5,14,21,2,6
"K01868: TARS, thrS; threonyl-tRNA synthetase [EC:6.1.1.3]",8,2,9,10,6,20,0,18,7,5
"K01870: IARS, ileS; isoleucyl-tRNA synthetase [EC:6.1.1.5]",6,3,9,11,6,14,12,14,5,5
K02704: psbB; photosystem II CP47 chlorophyll apoprotein,14,6,0,11,10,11,14,6,8,5
K07497: K07497; putative transposase,14,0,17,6,6,14,8,9,7,4
K14194: sdrC_D_E; serine-aspartate repeat-containing protein C/D/E,14,3,0,4,7,3,10,29,5,10
"K01551: arsA, ASNA1, GET3; arsenite/tail-anchored protein-transporting ATPase [EC:7.3.2.7 7.3.-.-]",2,2,1,1,4,11,24,12,12,15
K02286: cpcC; phycocyanin-associated rod linker protein,22,6,0,14,8,10,4,11,8,1
K02666: pilQ; type IV pilus assembly protein PilQ,16,1,16,9,4,7,10,5,8,8
K05587: hoxF; bidirectional [NiFe] hydrogenase diaphorase subunit [EC:7.1.1.2],2,0,1,11,10,11,14,10,16,9
K11180: dsrA; dissimilatory sulfite reductase alpha subunit [EC:1.8.99.5],0,0,0,6,1,13,24,8,18,14
"K00175: korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]",10,0,1,4,10,12,10,22,6,8
K02001: proW; glycine betaine/proline transport system permease protein,6,0,2,7,2,18,10,22,6,10
"K02529: lacI, galR; LacI family transcriptional regulator",2,0,6,10,9,10,20,14,1,11
K06596: chpA; chemosensory pili system protein ChpA (sensor histidine kinase/response regulator),20,0,5,3,5,7,6,7,20,10
K00975: glgC; glucose-1-phosphate adenylyltransferase [EC:2.7.7.27],20,2,0,7,10,12,10,14,4,3
K03111: ssb; single-strand DNA-binding protein,8,2,0,8,2,18,14,11,12,7
K07736: carD; CarD family transcriptional regulator,12,1,1,7,3,18,22,14,1,3
"K15770: cycB, ganO; arabinogalactan oligomer / maltooligosaccharide transport system substrate-binding protein",10,0,0,9,3,22,8,9,11,10
"K02482: K02482; two-component system, NtrC family, sensor kinase [EC:2.7.13.3]",2,1,1,3,7,18,12,22,6,9
"K02992: RP-S7, MRPS7, rpsG; small subunit ribosomal protein S7",16,1,1,9,9,5,10,17,9,4
K05366: mrcA; penicillin-binding protein 1A [EC:2.4.1.129 3.4.16.4],28,1,10,10,8,6,2,11,1,4
K05808: yhbH; putative sigma-54 modulation protein,10,3,2,9,13,20,2,8,8,6
"K05875: tar; methyl-accepting chemotaxis protein II, aspartate sensor receptor",2,0,12,1,2,22,8,17,13,4
K07304: msrA; peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11],28,4,3,3,9,15,8,6,4,1
K10823: oppF; oligopeptide transport system ATP-binding protein,14,2,3,4,4,7,22,18,1,6
"K00088: IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]",12,2,6,3,5,7,14,16,7,8
K02093: apcB; allophycocyanin beta subunit,16,4,0,14,8,15,10,4,7,2
K02487: pilL; type IV pili sensor histidine kinase and response regulator,20,0,5,3,5,7,6,7,16,11
K06966: ppnN; pyrimidine/purine-5'-nucleotide nucleosidase [EC:3.2.2.10 3.2.2.-],16,3,6,6,9,7,8,17,4,4
K03283: HSPA1s; heat shock 70kDa protein 1/2/6/8,14,2,0,18,7,11,4,7,11,5
K03531: ftsZ; cell division protein FtsZ,14,2,4,4,3,9,18,13,4,8
K11381: bkdA; 2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4],6,1,4,13,8,10,18,11,3,5
"K00074: paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]",2,3,9,5,11,12,10,14,4,8
"K00124: fdoH, fdsB; formate dehydrogenase iron-sulfur subunit",2,2,2,10,18,9,10,8,8,9
K00333: nuoD; NADH-quinone oxidoreductase subunit D [EC:7.1.1.2],8,1,3,11,8,5,10,14,9,9
K00951: relA; GTP pyrophosphokinase [EC:2.7.6.5],18,2,10,7,4,13,0,12,2,10
K01090: E3.1.3.16; protein phosphatase [EC:3.1.3.16],6,1,9,5,13,11,14,14,2,3
"K02357: tsf, TSFM; elongation factor Ts",10,0,3,7,5,15,12,11,6,9
"K03124: TFIIB, GTF2B, SUA7, tfb; transcription initiation factor TFIIB",8,1,0,0,3,13,14,36,0,3
K06907: K06907; uncharacterized protein,16,2,0,13,12,5,12,4,8,6
K08282: E2.7.11.1; non-specific serine/threonine protein kinase [EC:2.7.11.1],12,3,5,7,10,10,12,12,2,5
"K13924: cheBR; two-component system, chemotaxis family, CheB/CheR fusion protein [EC:2.1.1.80 3.1.1.61]",8,1,1,7,6,12,12,18,6,7
"K00162: PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]",6,1,3,9,7,11,20,13,2,5
K00244: frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4],2,0,1,4,8,9,16,13,14,10
K02313: dnaA; chromosomal replication initiator protein,14,1,5,3,6,13,12,11,1,11
K02601: nusG; transcription termination/antitermination protein NusG,18,4,2,10,3,9,8,11,7,5
"K02931: RP-L5, MRPL5, rplE; large subunit ribosomal protein L5",8,2,2,4,13,10,14,16,2,6
K03545: tig; trigger factor,16,2,4,4,9,12,10,10,3,7
K03686: dnaJ; molecular chaperone DnaJ,12,1,3,7,5,9,14,13,7,6
K04767: acuB; acetoin utilization protein AcuB,8,3,1,12,18,9,8,5,7,6
"K01139: spoT; GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]",18,2,10,5,4,13,0,13,2,9
K03694: clpA; ATP-dependent Clp protease ATP-binding subunit ClpA,16,0,3,11,10,5,16,5,5,5
"K00111: glpA, glpD; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]",4,2,9,8,3,6,18,20,4,1
K00571: E2.1.1.72; site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72],6,1,2,5,2,15,12,25,2,5
"K00639: kbl, GCAT; glycine C-acetyltransferase [EC:2.3.1.29]",12,0,0,8,9,16,6,14,4,6
K01997: livH; branched-chain amino acid transport system permease protein,10,1,28,10,2,6,2,7,0,9
"K02874: RP-L14, MRPL14, rplN; large subunit ribosomal protein L14",10,0,0,3,9,15,6,23,4,5
"K03496: parA, soj; chromosome partitioning protein",16,2,7,8,3,16,8,8,4,3
"K03657: uvrD, pcrA; DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]",12,1,7,3,6,17,4,19,0,6
"K05874: tsr; methyl-accepting chemotaxis protein I, serine sensor receptor",8,0,17,2,4,13,4,10,11,6
"K07658: phoB1, phoP; two-component system, OmpR family, alkaline phosphatase synthesis response regulator PhoP",14,2,5,12,8,14,8,9,1,2
K00652: bioF; 8-amino-7-oxononanoate synthase [EC:2.3.1.47],10,0,1,10,10,13,4,13,4,9
"K01908: ACSS3, prpE; propionyl-CoA synthetase [EC:6.2.1.17]",0,0,0,6,3,10,14,8,17,16
K05343: treS; maltose alpha-D-glucosyltransferase / alpha-amylase [EC:5.4.99.16 3.2.1.1],2,3,2,13,5,9,16,15,3,6
K11903: hcp; type VI secretion system secreted protein Hcp,32,5,1,9,9,4,6,1,5,2
"K14126: mvhA, vhuA, vhcA; F420-non-reducing hydrogenase large subunit [EC:1.12.99.- 1.8.98.5]",0,0,0,3,5,7,26,20,1,12
K17218: sqr; sulfide:quinone oxidoreductase [EC:1.8.5.4],2,0,0,14,7,24,4,6,10,7
K18331: hndC; NADP-reducing hydrogenase subunit HndC [EC:1.12.1.3],4,0,2,0,7,13,16,9,13,10
"K00241: sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit",4,0,0,8,5,13,8,23,6,6
"K00281: GLDC, gcvP; glycine dehydrogenase [EC:1.4.4.2]",6,0,5,15,9,7,8,11,7,5
"K03286: TC.OOP; OmpA-OmpF porin, OOP family",6,0,3,9,8,16,6,9,6,10
"K04488: iscU, nifU; nitrogen fixation protein NifU and related proteins",10,0,0,4,12,12,12,10,3,10
K05349: bglX; beta-glucosidase [EC:3.2.1.21],6,2,5,4,2,8,16,19,5,6
K05922: hydB; quinone-reactive Ni/Fe-hydrogenase large subunit [EC:1.12.5.1],2,0,0,8,6,4,12,12,15,14
K09013: sufC; Fe-S cluster assembly ATP-binding protein,34,6,1,3,2,9,10,3,1,4
K00334: nuoE; NADH-quinone oxidoreductase subunit E [EC:7.1.1.2],6,2,8,8,9,6,14,9,3,7
"K00658: DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]",6,0,1,6,11,16,8,11,6,7
"K00820: glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]",12,4,7,8,4,8,2,17,4,6
K01507: ppa; inorganic pyrophosphatase [EC:3.6.1.1],8,1,2,8,10,6,12,14,3,8
"K01599: hemE, UROD; uroporphyrinogen decarboxylase [EC:4.1.1.37]",4,0,3,6,9,12,12,11,5,10
"K01872: AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]",12,2,7,6,6,6,12,16,2,3
K03072: secD; preprotein translocase subunit SecD,2,0,5,11,6,14,10,12,10,2
"K03307: TC.SSS; solute:Na+ symporter, SSS family",2,3,4,6,5,2,8,11,13,18
"K03887: MQCRB, qcrB, bfcB, petB; menaquinol-cytochrome c reductase cytochrome b subunit",16,1,2,10,10,9,10,4,5,5
K03891: qcrB; ubiquinol-cytochrome c reductase cytochrome b subunit,16,1,2,10,10,9,10,4,5,5
K07131: K07131; uncharacterized protein,2,2,0,6,7,4,14,16,11,10
"K10232: aglE, ggtB; alpha-glucoside transport system substrate-binding protein",10,4,0,8,9,2,14,11,7,7
K15879: narC; cytochrome b-561,16,1,2,10,10,9,10,4,5,5
"K01420: fnr; CRP/FNR family transcriptional regulator, anaerobic regulatory protein",12,1,5,4,7,13,4,12,7,6
"K01637: E4.1.3.1, aceA; isocitrate lyase [EC:4.1.3.1]",4,1,1,13,8,9,12,11,6,6
K02454: gspE; general secretion pathway protein E [EC:7.4.2.8],16,5,3,8,7,4,10,10,2,6
"K02481: K02481; two-component system, NtrC family, response regulator",0,1,0,6,8,19,8,15,5,8
K02653: pilC; type IV pilus assembly protein PilC,20,0,4,7,9,5,14,4,3,4
"K02890: RP-L22, MRPL22, rplV; large subunit ribosomal protein L22",6,0,2,5,9,12,8,22,4,2
"K02948: RP-S11, MRPS11, rpsK; small subunit ribosomal protein S11",12,2,1,9,9,5,4,19,5,4
"K03217: yidC, spoIIIJ, OXA1, ccfA; YidC/Oxa1 family membrane protein insertase",18,1,1,6,10,5,14,9,3,3
K01179: E3.2.1.4; endoglucanase [EC:3.2.1.4],8,0,2,8,5,12,10,12,0,12
K01265: map; methionyl aminopeptidase [EC:3.4.11.18],12,1,3,8,3,14,6,15,5,2
K02456: gspG; general secretion pathway protein G,14,2,0,6,1,11,4,6,11,14
"K03413: cheY; two-component system, chemotaxis family, chemotaxis protein CheY",2,0,4,4,5,15,6,18,8,7
"K06027: NSF, SEC18; vesicle-fusing ATPase [EC:3.6.4.6]",22,5,0,8,11,4,2,6,8,3
"K06559: LY75, CD205; lymphocyte antigen 75",4,0,23,0,0,29,10,3,0,0
K06722: CD302; CD302 antigen,4,0,23,0,0,29,10,3,0,0
K08698: ccmM; carbon dioxide concentrating mechanism protein CcmM,16,2,0,6,5,10,6,9,12,3
K11751: ushA; 5'-nucleotidase / UDP-sugar diphosphatase [EC:3.1.3.5 3.6.1.45],8,3,3,10,6,9,10,8,6,6
K01840: manB; phosphomannomutase [EC:5.4.2.8],4,1,7,4,5,12,12,10,8,5
K01847: MUT; methylmalonyl-CoA mutase [EC:5.4.99.2],2,0,4,5,1,7,16,18,5,10
K02000: proV; glycine betaine/proline transport system ATP-binding protein [EC:7.6.2.9],14,2,1,1,2,15,6,11,9,7
"K02926: RP-L4, MRPL4, rplD; large subunit ribosomal protein L4",12,1,0,8,3,15,6,9,10,4
"K02959: RP-S16, MRPS16, rpsP; small subunit ribosomal protein S16",6,1,2,3,5,12,6,22,7,4
K03076: secY; preprotein translocase subunit SecY,16,2,3,5,6,8,10,6,7,5
K03389: hdrB2; heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6],0,0,0,4,4,11,12,30,2,5
K06883: K06883; uncharacterized protein,0,2,0,2,7,11,14,15,6,11
K01133: betC; choline-sulfatase [EC:3.1.6.6],14,3,2,5,14,8,4,10,3,4
K02335: polA; DNA polymerase I [EC:2.7.7.7],14,2,3,5,6,5,8,21,1,2
K07484: K07484; transposase,24,2,5,7,6,3,10,8,2,0
K14083: mttB; trimethylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.250],0,0,0,4,5,10,20,11,8,9
K16881: K16881; mannose-1-phosphate guanylyltransferase / phosphomannomutase [EC:2.7.7.13 5.4.2.8],20,3,1,9,5,7,6,7,7,2
"K00958: sat, met3; sulfate adenylyltransferase [EC:2.7.7.4]",6,0,0,6,3,8,10,9,11,13
K01322: PREP; prolyl oligopeptidase [EC:3.4.21.26],14,1,1,4,7,18,8,4,6,3
"K03768: PPIB, ppiB; peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]",8,1,4,9,9,6,6,18,3,2
K11181: dsrB; dissimilatory sulfite reductase beta subunit [EC:1.8.99.5],0,0,0,9,1,15,10,5,12,14
K12567: TTN; titin [EC:2.7.11.1],8,1,2,2,6,15,14,13,1,4
"K00826: E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]",16,2,7,11,4,5,8,8,1,3
"K02838: frr, MRRF, RRF; ribosome recycling factor",12,2,3,3,4,19,4,7,5,6
"K02888: RP-L21, MRPL21, rplU; large subunit ribosomal protein L21",6,1,2,6,7,11,14,10,7,1
"K02990: RP-S6, MRPS6, rpsF; small subunit ribosomal protein S6",10,0,3,9,5,9,8,5,9,7
"K03469: rnhA, RNASEH1; ribonuclease HI [EC:3.1.26.4]",14,2,4,4,6,5,8,17,1,4
K03701: uvrA; excinuclease ABC subunit A,6,0,11,1,3,4,20,16,2,2
K06890: K06890; uncharacterized protein,16,0,2,18,5,5,0,6,8,5
"K01810: GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]",20,1,4,8,7,3,8,5,4,4
"K02283: cpaF, tadA; pilus assembly protein CpaF [EC:7.4.2.8]",6,0,0,5,4,4,16,21,2,6
K02655: pilE; type IV pilus assembly protein PilE,8,2,1,7,1,7,10,5,7,16
"K03405: chlI, bchI; magnesium chelatase subunit I [EC:6.6.1.1]",6,1,2,7,8,5,10,15,2,8
"K17318: K17318, lplA; putative aldouronate transport system substrate-binding protein",0,0,0,3,5,11,6,23,9,7
K18005: hoxF; [NiFe] hydrogenase diaphorase moiety large subunit [EC:1.12.1.2],0,0,0,5,6,13,10,8,16,6
"K00012: UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]",24,1,1,10,4,5,4,5,3,6
"K00185: K00185; prokaryotic molybdopterin-containing oxidoreductase family, membrane subunit",8,0,0,9,18,3,6,3,5,11
"K00186: vorA; 2-oxoisovalerate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.7]",0,0,0,8,5,14,12,10,7,7
"K00261: GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]",12,0,1,7,5,7,8,11,9,3
"K00600: glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]",10,1,2,7,5,2,12,10,4,10
K01733: thrC; threonine synthase [EC:4.2.3.1],12,0,0,13,8,8,2,8,3,9
"K01772: hemH, FECH; protoporphyrin/coproporphyrin ferrochelatase [EC:4.99.1.1 4.99.1.9]",20,4,1,10,5,8,0,7,4,4
"K01953: asnB, ASNS; asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]",12,1,1,4,6,14,6,11,3,5
K02674: pilY1; type IV pilus assembly protein PilY1,2,1,8,3,1,15,10,10,6,7
K03569: mreB; rod shape-determining protein MreB and related proteins,14,0,0,3,6,5,12,13,2,8
"K10001: gltI, aatJ; glutamate/aspartate transport system substrate-binding protein",10,2,10,10,6,5,10,3,2,5
"K01939: purA, ADSS; adenylosuccinate synthase [EC:6.3.4.4]",10,0,5,2,2,11,16,6,2,8
"K02115: ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma",10,2,1,10,4,9,8,6,4,8
"K02881: RP-L18, MRPL18, rplR; large subunit ribosomal protein L18",12,1,0,6,2,15,0,17,3,6
K03074: secF; preprotein translocase subunit SecF,4,1,5,8,5,6,8,13,8,4
K07516: fadN; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35],10,1,5,3,5,10,8,11,2,7
"K07636: phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]",10,1,2,5,6,12,12,10,1,3
K09118: K09118; uncharacterized protein,8,4,0,0,3,10,16,15,3,3
"K09835: crtISO, crtH; prolycopene isomerase [EC:5.2.1.13]",6,0,0,6,7,4,14,15,7,3
"K00164: OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]",18,1,3,6,6,10,8,3,3,3
"K00873: PK, pyk; pyruvate kinase [EC:2.7.1.40]",14,0,5,3,5,10,10,7,3,4
K01738: cysK; cysteine synthase [EC:2.5.1.47],18,4,5,8,9,2,4,4,3,4
K02337: dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7],12,0,11,5,1,10,6,10,4,2
"K02956: RP-S15, MRPS15, rpsO; small subunit ribosomal protein S15",16,4,3,5,5,5,6,8,2,7
K05364: pbpA; penicillin-binding protein A,24,0,7,4,2,3,6,11,1,3
K07192: FLOT; flotillin,10,1,0,1,1,9,16,4,13,6
K08999: K08999; uncharacterized protein,10,2,0,4,6,10,8,14,4,3
K10441: rbsA; ribose transport system ATP-binding protein [EC:7.5.2.7],2,1,3,1,2,14,8,14,6,10
K16153: K16153; glycogen phosphorylase/synthase [EC:2.4.1.1 2.4.1.11],6,1,1,5,3,11,16,6,6,6
K00133: asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11],24,1,4,1,5,3,6,9,3,4
K00337: nuoH; NADH-quinone oxidoreductase subunit H [EC:7.1.1.2],18,3,2,4,6,5,8,5,4,5
K00518: sodN; nickel superoxide dismutase [EC:1.15.1.1],12,3,0,5,9,8,12,6,2,3
K00527: rtpR; ribonucleoside-triphosphate reductase (thioredoxin) [EC:1.17.4.2],6,1,7,2,3,10,8,10,2,11
"K01874: MARS, metG; methionyl-tRNA synthetase [EC:6.1.1.10]",8,1,13,6,5,5,8,10,4,0
"K01881: PARS, proS; prolyl-tRNA synthetase [EC:6.1.1.15]",14,1,4,4,0,13,4,14,1,5
"K01890: FARSB, pheT; phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]",2,0,7,5,4,12,8,16,3,3
K01998: livM; branched-chain amino acid transport system permease protein,6,0,14,3,6,5,4,4,8,10
K02557: motB; chemotaxis protein MotB,2,1,2,10,4,18,6,10,1,6
"K02935: RP-L7, MRPL12, rplL; large subunit ribosomal protein L7/L12",12,1,0,4,5,10,6,10,7,5
"K03320: amt, AMT, MEP; ammonium transporter, Amt family",10,3,5,9,13,3,6,3,1,7
"K05592: deaD, cshA; ATP-dependent RNA helicase DeaD [EC:3.6.4.13]",12,2,1,3,4,2,6,14,7,9
K06402: spoIVFB; stage IV sporulation protein FB [EC:3.4.24.-],32,1,0,5,4,2,10,4,2,0
K12257: secDF; SecD/SecF fusion protein,2,0,1,9,5,14,8,9,10,2
"K20074: prpC, phpP; PPM family protein phosphatase [EC:3.1.3.16]",6,0,5,5,8,6,14,12,2,2
"K00192: cdhA; anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha [EC:1.2.7.4]",0,0,0,1,0,6,18,30,1,3
K00341: nuoL; NADH-quinone oxidoreductase subunit L [EC:7.1.1.2],16,1,5,3,7,5,10,3,5,4
"K00855: PRK, prkB; phosphoribulokinase [EC:2.7.1.19]",12,4,0,6,7,4,2,12,5,7
K01183: E3.2.1.14; chitinase [EC:3.2.1.14],4,0,2,4,2,12,12,13,2,8
"K01809: manA, MPI; mannose-6-phosphate isomerase [EC:5.3.1.8]",14,1,12,2,3,5,8,7,5,2
"K01848: E5.4.99.2A, mcmA1; methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2]",4,0,3,5,1,4,10,25,2,5
"K02946: RP-S10, MRPS10, rpsJ; small subunit ribosomal protein S10",8,0,0,8,3,11,6,12,6,5
K03041: rpoA1; DNA-directed RNA polymerase subunit A' [EC:2.7.7.6],2,0,0,0,0,14,10,32,1,0
K03596: lepA; GTP-binding protein LepA,16,1,8,1,3,5,8,8,3,6
K12574: rnj; ribonuclease J [EC:3.1.-.-],12,1,2,5,4,13,6,11,1,4
K13274: wprA; cell wall-associated protease [EC:3.4.21.-],8,1,0,4,4,9,14,10,4,5
K14393: actP; cation/acetate symporter,4,1,3,8,8,2,8,5,5,15
K14743: mycP; membrane-anchored mycosin MYCP [EC:3.4.21.-],8,1,0,9,6,6,8,11,4,6
K00331: nuoB; NADH-quinone oxidoreductase subunit B [EC:7.1.1.2],10,2,3,5,5,4,12,7,5,5
"K00395: aprB; adenylylsulfate reductase, subunit B [EC:1.8.99.2]",0,0,0,2,4,7,14,11,11,9
"K01873: VARS, valS; valyl-tRNA synthetase [EC:6.1.1.9]",10,1,5,1,6,5,8,15,3,4
K03568: tldD; TldD protein,14,1,1,4,8,5,12,9,4,0
K07182: K07182; CBS domain-containing protein,6,1,3,7,8,8,8,7,5,5
K13730: inlA; internalin A,6,0,0,1,2,13,16,10,0,10
K00697: otsA; trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347],6,2,2,10,5,9,8,10,1,4
K01616: kgd; 2-oxoglutarate decarboxylase [EC:4.1.1.71],18,1,3,6,6,7,8,3,3,2
"K02479: K02479; two-component system, NarL family, response regulator",12,3,1,9,5,9,8,4,3,3
"K02879: RP-L17, MRPL17, rplQ; large subunit ribosomal protein L17",2,0,0,10,3,16,2,15,3,6
K03093: sigI; RNA polymerase sigma factor,38,6,0,2,1,8,2,0,0,0
K08651: E3.4.21.66; thermitase [EC:3.4.21.66],6,1,0,4,5,9,10,15,1,6
K15583: oppD; oligopeptide transport system ATP-binding protein,16,1,3,1,5,8,4,8,2,9
"K15633: gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]",6,0,1,5,2,12,14,13,3,1
K18006: hoxU; [NiFe] hydrogenase diaphorase moiety small subunit [EC:1.12.1.2],0,0,0,5,3,18,8,3,9,11
K18007: hoxY; NAD-reducing hydrogenase small subunit [EC:1.12.1.2],4,0,0,7,6,7,6,17,8,2
"K18138: acrB, mexB, adeJ, smeE, mtrD, cmeB; multidrug efflux pump",16,1,20,3,2,6,2,3,2,2
"K00027: ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]",6,1,7,3,5,8,10,8,4,4
"K00033: PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]",14,0,0,3,12,6,8,6,5,2
K00703: glgA; starch synthase [EC:2.4.1.21],10,4,0,6,6,8,6,9,1,6
"K01783: rpe, RPE; ribulose-phosphate 3-epimerase [EC:5.1.3.1]",20,3,1,7,9,4,2,5,3,2
"K02895: RP-L24, MRPL24, rplX; large subunit ribosomal protein L24",14,2,2,3,3,4,8,14,3,3
"K03688: ubiB, aarF; ubiquinone biosynthesis protein",20,2,2,4,2,10,4,8,1,3
K03767: PPIA; peptidyl-prolyl cis-trans isomerase A (cyclophilin A) [EC:5.2.1.8],8,1,4,7,8,5,4,12,3,4
"K07714: atoC; two-component system, NtrC family, response regulator AtoC",0,0,1,6,6,15,6,15,5,2
K07814: K07814; putative two-component system response regulator,2,1,3,6,5,15,6,7,7,4
"K09969: aapJ, bztA; general L-amino acid transport system substrate-binding protein",10,2,3,11,7,5,8,3,4,3
K11177: yagR; xanthine dehydrogenase YagR molybdenum-binding subunit [EC:1.17.1.4],18,0,3,4,7,3,6,9,2,4
K13378: nuoCD; NADH-quinone oxidoreductase subunit C/D [EC:7.1.1.2],6,1,3,11,8,4,8,4,5,6
K13889: gsiB; glutathione transport system substrate-binding protein,0,3,1,8,3,11,14,8,5,3
"K00029: E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]",10,1,7,3,5,9,8,5,4,3
K00404: ccoN; cytochrome c oxidase cbb3-type subunit I [EC:1.9.3.1],6,2,0,7,11,17,2,2,6,2
K00648: fabH; 3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180],14,0,12,4,5,10,2,5,2,1
"K00799: GST, gst; glutathione S-transferase [EC:2.5.1.18]",8,2,13,4,7,8,6,4,1,2
"K00971: manC, cpsB; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]",14,1,11,2,4,5,8,5,4,1
K01938: fhs; formate--tetrahydrofolate ligase [EC:6.3.4.3],4,0,1,7,2,8,6,4,14,9
"K02916: RP-L35, MRPL35, rpmI; large subunit ribosomal protein L35",10,0,2,6,8,6,6,13,3,1
"K03466: ftsK, spoIIIE; DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family",2,0,7,5,8,13,8,7,2,3
K04757: rsbW; serine/threonine-protein kinase RsbW [EC:2.7.11.1],6,1,0,4,5,11,12,9,3,4
"K10354: ACTA1; actin, alpha skeletal muscle",2,0,0,5,5,12,14,7,6,4
"K11996: MOCS3, UBA4; adenylyltransferase and sulfurtransferase [EC:2.7.7.80 2.8.1.11]",18,2,1,5,7,1,8,5,3,5
"K00179: iorA; indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]",8,0,5,2,5,7,6,14,3,4
K00283: gcvPB; glycine dehydrogenase subunit 2 [EC:1.4.4.2],4,0,3,10,4,6,8,10,5,4
"K00344: qor, CRYZ; NADPH:quinone reductase [EC:1.6.5.5]",8,1,5,11,9,6,8,5,1,0
K00437: hydB; [NiFe] hydrogenase large subunit [EC:1.12.2.1],2,0,0,4,5,0,10,10,10,13
